# Jiang, P. et. al. 2002.01786 Table I (mask value -999)
#   Mean values     2018-12-07      2018-12-08      2018-12-16      2018-12-17
#M  Xc     Yc       Xc     Yc       Xc     Yc       Xc     Yc       Xc     Yc       
01  -0.04   -0.02   0.00    0.00    -0.02   0.01    -0.06   -0.05   -0.06   -0.02   
02	5.76	-0.01   5.81	0.03	5.81	0.03	5.69	-0.05	5.73	-0.04	
03	2.86	-4.98   2.89	-4.97	2.94	-4.93	2.81	-5.06	2.83	-4.99	
04	-2.89	-5.01   -2.84	-4.99	-2.81	-5.00	-2.95	-5.03	-2.95	-5.02	
05	-5.78	-0.02   -5.75	-0.03	-5.74	-0.01	-5.82	-0.04	-5.80	0.01	
06	-2.92	4.98    -2.90	5.00	-2.91	5.00	-2.92	4.94	-2.94	4.97	
07	2.85	4.97    2.89	5.01	2.85	5.03	2.83	4.90	2.83	4.95	
08	11.55	-0.02   11.58	0.01	11.60	0.05	11.49	-0.06	11.53	-0.07	
09	8.65	-5.01   8.67	-4.96	8.74	-4.93	8.56	-5.07	8.64	-5.06	
10	5.78	-10.02  5.81	-9.99	5.89	-9.94	5.69	-10.10	5.70	-10.04	
11	0.00	-10.04  0.08	-9.99	0.13	-9.96	-0.09	-10.05	-0.10	-10.06	
12	-5.78	-10.07  -5.69	-10.06	-5.65	-10.10	-5.90	-10.07	-5.90	-10.07	
13	-8.67	-5.05   -8.57	-5.07	-8.60	-5.05	-8.75	-5.05	-8.74	-5.04	
14	-11.61	-0.02   -999	-999	-11.58	-0.05	-999	-999	-11.64	0.00	
15	-8.68	4.99    -8.67	4.93	-8.69	5.00	-8.67	4.96	-8.72	4.99	
16	-5.83	10.02   -5.81	10.01	-5.82	10.05	-5.81	10.00	-5.85	10.02	
17	-0.03	10.00   -0.02	10.01	-0.02	10.03	-0.01	9.95	-0.07	9.99	
18	5.76	10.00   5.79	10.04	5.77	10.06	5.74	9.94	5.73	9.96	
19	8.63	4.98    8.67	5.01	8.66	5.07	8.58	4.92	8.60	4.94	
